qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_NC_013364.1_2014344_2017818_neg,CDS_NC_013364.1_2396746_2400244_neg,85.885,1169,147,7,1,1156,1,1164,0.0,2045.0,1157,1165,101.04,100.34
CDS_NC_013364.1_876250_879727_pos,CDS_NC_013364.1_2396746_2400244_neg,88.281,1169,120,6,1,1157,1,1164,0.0,2100.0,1158,1165,100.95,100.34
CDS_NC_013364.1_876250_879727_pos,CDS_NC_013364.1_1765135_1768633_pos,87.767,1169,126,6,1,1157,1,1164,0.0,2088.0,1158,1165,100.95,100.34
CDS_NC_013364.1_880458_881772_pos,CDS_NC_013364.1_1482375_1483698_pos,97.045,440,10,1,1,437,1,440,0.0,839.0,437,440,100.69,100.0
CDS_NC_013364.1_2012221_2013526_neg,CDS_NC_013364.1_4994597_4995911_pos,94.05,437,23,1,1,434,1,437,0.0,758.0,434,437,100.69,100.0
CDS_NC_013364.1_2012221_2013526_neg,CDS_NC_013364.1_2537781_2539095_neg,94.279,437,22,1,1,434,1,437,0.0,748.0,434,437,100.69,100.0
CDS_NC_013364.1_2012221_2013526_neg,CDS_NC_013364.1_3317697_3319011_neg,94.508,437,21,1,1,434,1,437,0.0,747.0,434,437,100.69,100.0
CDS_NC_013364.1_2012221_2013526_neg,CDS_NC_013364.1_2394698_2396012_neg,94.508,437,21,1,1,434,1,437,0.0,745.0,434,437,100.69,100.0
CDS_NC_013364.1_2545899_2548512_neg,CDS_NC_013364.1_3325816_3328462_neg,96.229,875,22,1,7,870,7,881,0.0,1671.0,870,881,100.57,99.32
CDS_NC_013364.1_3705513_3706773_pos,CDS_NC_013364.1_5173363_5174038_pos,97.387,421,9,1,1,419,1,421,0.0,848.0,419,421,100.48,100.0
CDS_NC_013364.1_3705513_3706773_pos,CDS_NC_013364.1_5172489_5173110_neg,97.387,421,9,1,1,419,1,421,0.0,848.0,419,421,100.48,100.0
