qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_NZ_CP009166.1_1227868_1228348_pos,CDS_NZ_CP009166.1_4113106_4113592_pos,87.578,161,18,1,1,159,1,161,2.74e-98,277.0,159,161,101.26,100.0
CDS_NZ_CP009166.1_2286905_2287385_pos,CDS_NZ_CP009166.1_4113106_4113592_pos,87.578,161,18,1,1,159,1,161,5.29e-98,276.0,159,161,101.26,100.0
CDS_NZ_CP009166.1_1221989_1224374_pos,CDS_NZ_CP009166.1_2280170_2282567_pos,88.095,798,91,1,1,794,1,798,0.0,1367.0,794,798,100.5,100.0
CDS_NZ_CP009166.1_1226711_1227530_pos,CDS_NZ_CP009166.1_2286002_2286824_pos,94.139,273,15,1,1,272,1,273,0.0,519.0,272,273,100.37,100.0
CDS_NZ_CP009166.1_977055_977874_pos,CDS_NZ_CP009166.1_2286002_2286824_pos,93.04,273,18,1,1,272,1,273,0.0,512.0,272,273,100.37,100.0
CDS_NZ_CP009166.1_1358229_1361628_pos,CDS_NZ_CP009166.1_4907114_4910510_pos,92.43,1136,77,2,1,1132,1,1131,0.0,2163.0,1132,1131,100.35,100.44
CDS_NZ_CP009166.1_1361686_1362826_pos,CDS_NZ_CP009166.1_4907114_4910510_pos,92.43,1136,77,2,1,1132,1,1131,0.0,2163.0,1132,1131,100.35,100.44
CDS_NZ_CP009166.1_1358229_1361628_pos,CDS_NZ_CP009166.1_1361686_1362826_pos,100.0,1132,0,0,1,1132,1,1132,0.0,2344.0,1132,1132,100.0,100.0
CDS_NZ_CP009166.1_1791199_1794550_neg,CDS_NZ_CP009166.1_1794603_1794699_neg,100.0,1116,0,0,1,1116,1,1116,0.0,2233.0,1116,1116,100.0,100.0
CDS_NZ_CP009166.1_1211510_1214354_neg,CDS_NZ_CP009166.1_1216248_1217145_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_1211510_1214354_neg,CDS_NZ_CP009166.1_1215089_1216239_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_1211510_1214354_neg,CDS_NZ_CP009166.1_1214776_1215025_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_1214776_1215025_pos,CDS_NZ_CP009166.1_1216248_1217145_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_1214776_1215025_pos,CDS_NZ_CP009166.1_1215089_1216239_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_1215089_1216239_pos,CDS_NZ_CP009166.1_1216248_1217145_pos,100.0,947,0,0,1,947,1,947,0.0,1966.0,947,947,100.0,100.0
CDS_NZ_CP009166.1_3888051_3890541_neg,CDS_NZ_CP009166.1_3890533_3891346_pos,100.0,829,0,0,1,829,1,829,0.0,1715.0,829,829,100.0,100.0
CDS_NZ_CP009167.1_39124_41656_neg,CDS_NZ_CP009167.1_43311_44293_pos,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009167.1_39124_41656_neg,CDS_NZ_CP009167.1_42223_43245_neg,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009167.1_39124_41656_neg,CDS_NZ_CP009167.1_42034_42154_pos,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009167.1_42034_42154_pos,CDS_NZ_CP009167.1_43311_44293_pos,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009167.1_42034_42154_pos,CDS_NZ_CP009167.1_42223_43245_neg,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009167.1_42223_43245_neg,CDS_NZ_CP009167.1_43311_44293_pos,100.0,843,0,0,1,843,1,843,0.0,1694.0,843,843,100.0,100.0
CDS_NZ_CP009166.1_1161977_1164398_neg,CDS_NZ_CP009166.1_1164623_1165370_neg,100.0,806,0,0,1,806,1,806,0.0,1669.0,806,806,100.0,100.0
CDS_NZ_CP009166.1_1353266_1355828_pos,CDS_NZ_CP009166.1_4902150_4904712_pos,96.366,853,31,0,1,853,1,853,0.0,1588.0,853,853,100.0,100.0
CDS_NZ_CP009166.1_4578576_4580724_neg,CDS_NZ_CP009166.1_4580921_4582388_neg,100.0,715,0,0,1,715,1,715,0.0,1498.0,715,715,100.0,100.0
CDS_NZ_CP009166.1_2410035_2412069_pos,CDS_NZ_CP009166.1_2412209_2416004_pos,100.0,677,0,0,1,677,1,677,0.0,1419.0,677,677,100.0,100.0
CDS_NZ_CP009166.1_2002123_2004052_neg,CDS_NZ_CP009166.1_2004575_2006475_pos,100.0,642,0,0,1,642,1,642,0.0,1346.0,642,642,100.0,100.0
