CDS_NZ_CP009166.1_335_2798_pos	CDS_NZ_CP009166.1_335_2798_pos	100.000	820	0	0	1	820	1	820	0.0	1684	820	820
CDS_NZ_CP009166.1_335_2798_pos	CDS_NZ_CP009166.1_4411207_4413640_pos	30.572	821	526	17	5	812	16	805	2.65e-107	345	820	810
CDS_NZ_CP009166.1_335_2798_pos	CDS_NZ_CP009166.1_4513352_4514702_neg	30.149	471	288	10	3	460	6	448	7.48e-44	162	820	449
CDS_NZ_CP009166.1_2799_3732_pos	CDS_NZ_CP009166.1_2799_3732_pos	100.000	310	0	0	1	310	1	310	0.0	642	310	310
CDS_NZ_CP009166.1_3732_5019_pos	CDS_NZ_CP009166.1_3732_5019_pos	100.000	428	0	0	1	428	1	428	0.0	881	428	428
CDS_NZ_CP009166.1_5232_5529_pos	CDS_NZ_CP009166.1_5232_5529_pos	100.000	98	0	0	1	98	1	98	1.34e-68	197	98	98
CDS_NZ_CP009166.1_5232_5529_pos	CDS_NZ_CP009166.1_2710353_2710680_pos	60.294	68	27	0	4	71	2	69	1.81e-26	91.3	98	108
CDS_NZ_CP009166.1_5681_6458_neg	CDS_NZ_CP009166.1_5681_6458_neg	100.000	258	0	0	1	258	1	258	0.0	531	258	258
CDS_NZ_CP009166.1_6527_7958_neg	CDS_NZ_CP009166.1_6527_7958_neg	100.000	476	0	0	1	476	1	476	0.0	959	476	476
CDS_NZ_CP009166.1_8236_9190_pos	CDS_NZ_CP009166.1_8236_9190_pos	100.000	317	0	0	1	317	1	317	0.0	649	317	317
CDS_NZ_CP009166.1_8236_9190_pos	CDS_NZ_CP009166.1_2769823_2770774_pos	64.423	312	111	0	3	314	2	313	8.63e-151	423	317	316
CDS_NZ_CP009166.1_9304_9892_pos	CDS_NZ_CP009166.1_9304_9892_pos	100.000	195	0	0	1	195	1	195	1.22e-144	397	195	195
CDS_NZ_CP009166.1_9926_10493_neg	CDS_NZ_CP009166.1_9926_10493_neg	100.000	188	0	0	1	188	1	188	4.12e-132	365	188	188
CDS_NZ_CP009166.1_10641_11355_neg	CDS_NZ_CP009166.1_10641_11355_neg	100.000	237	0	0	1	237	1	237	2.10e-177	484	237	237
CDS_NZ_CP009166.1_11380_11785_neg	CDS_NZ_CP009166.1_11380_11785_neg	100.000	134	0	0	1	134	1	134	2.54e-98	275	134	134
CDS_NZ_CP009166.1_12161_14078_pos	CDS_NZ_CP009166.1_12161_14078_pos	100.000	638	0	0	1	638	1	638	0.0	1290	638	638
CDS_NZ_CP009166.1_12161_14078_pos	CDS_NZ_CP009166.1_2848241_2850092_neg	42.159	593	319	8	6	596	23	593	2.32e-146	435	638	616
CDS_NZ_CP009166.1_12161_14078_pos	CDS_NZ_CP009166.1_681552_683223_neg	30.626	591	343	16	5	585	8	541	2.44e-84	272	638	556
CDS_NZ_CP009166.1_14166_15297_pos	CDS_NZ_CP009166.1_14166_15297_pos	100.000	376	0	0	1	376	1	376	0.0	768	376	376
CDS_NZ_CP009166.1_14166_15297_pos	CDS_NZ_CP009166.1_1118740_1119661_neg	34.174	357	166	8	1	348	1	297	6.76e-55	180	376	306
CDS_NZ_CP009166.1_15400_15553_neg	CDS_NZ_CP009166.1_15400_15553_neg	100.000	50	0	0	1	50	1	50	3.07e-31	99.8	50	50
CDS_NZ_CP009166.1_15400_15553_neg	CDS_NZ_CP009166.1_1806496_1806652_neg	82.000	50	9	0	1	50	1	50	3.22e-26	87.0	50	51
