qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_NC_018658.1_2189610_2193006_pos,CDS_NC_018658.1_2898196_2901676_neg,90.595,1159,81,2,1,1131,1,1159,0.0,2158.0,1131,1159,102.48,100.0
CDS_NC_018658.1_2710704_2712813_neg,CDS_NC_018658.1_4186550_4188692_neg,89.621,713,63,2,1,702,1,713,0.0,1302.0,702,713,101.57,100.0
CDS_NC_018658.1_859743_860217_neg,CDS_NC_018658.1_1979510_1979990_neg,89.308,159,15,1,1,157,1,159,7.1500000000000004e-99,278.0,157,159,101.27,100.0
CDS_NC_018658.1_51106_51580_neg,CDS_NC_018658.1_1979510_1979990_neg,90.566,159,13,1,1,157,1,159,1.11e-98,278.0,157,159,101.27,100.0
CDS_NC_018658.1_2898196_2901676_neg,CDS_NC_018658.1_3586294_3589792_neg,89.393,1169,108,6,1,1158,1,1164,0.0,2121.0,1159,1165,100.86,100.34
CDS_NC_018658.1_3142549_3142903_neg,CDS_NC_018658.1_4782324_4782702_pos,92.373,118,4,1,1,113,1,118,1.44e-78,224.0,117,125,100.85,94.4
CDS_NC_018658.1_2573441_2581793_pos,CDS_NC_018658.1_3256636_3265018_neg,90.551,2794,252,5,1,2783,1,2793,0.0,5153.0,2783,2793,100.4,100.04
CDS_NC_018658.1_860517_861336_neg,CDS_NC_018658.1_3144566_3145388_neg,96.337,273,9,1,1,272,1,273,0.0,548.0,272,273,100.37,100.0
CDS_NC_018658.1_51918_52737_neg,CDS_NC_018658.1_1980071_1980893_neg,95.971,273,10,1,1,272,1,273,0.0,544.0,272,273,100.37,100.0
CDS_NC_018658.1_51918_52737_neg,CDS_NC_018658.1_3144566_3145388_neg,95.604,273,11,1,1,272,1,273,0.0,524.0,272,273,100.37,100.0
CDS_NC_018658.1_860517_861336_neg,CDS_NC_018658.1_1980071_1980893_neg,93.407,273,17,1,1,272,1,273,0.0,511.0,272,273,100.37,100.0
CDS_NC_018658.1_919717_923836_neg,CDS_NC_018658.1_4776964_4777438_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_919717_923836_neg,CDS_NC_018658.1_4772681_4776800_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_919717_923836_neg,CDS_NC_018658.1_926743_927169_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_919717_923836_neg,CDS_NC_018658.1_924563_926071_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_919717_923836_neg,CDS_NC_018658.1_924000_924474_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924000_924474_neg,CDS_NC_018658.1_4776964_4777438_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924000_924474_neg,CDS_NC_018658.1_4772681_4776800_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924000_924474_neg,CDS_NC_018658.1_926743_927169_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924000_924474_neg,CDS_NC_018658.1_924563_926071_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924563_926071_neg,CDS_NC_018658.1_4776964_4777438_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924563_926071_neg,CDS_NC_018658.1_4772681_4776800_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_924563_926071_neg,CDS_NC_018658.1_926743_927169_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_926743_927169_neg,CDS_NC_018658.1_4776964_4777438_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_926743_927169_neg,CDS_NC_018658.1_4772681_4776800_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018658.1_4772681_4776800_neg,CDS_NC_018658.1_4776964_4777438_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_018666.1_55668_59763_pos,CDS_NC_018666.1_60057_60246_neg,100.0,1364,0,0,1,1364,1,1364,0.0,2779.0,1364,1364,100.0,100.0
CDS_NC_018658.1_1293887_1297739_neg,CDS_NC_018658.1_1298389_1299670_pos,100.0,1283,0,0,1,1283,1,1283,0.0,2635.0,1283,1283,100.0,100.0
CDS_NC_018658.1_937020_939870_neg,CDS_NC_018658.1_940170_940874_pos,100.0,949,0,0,1,949,1,949,0.0,1949.0,949,949,100.0,100.0
CDS_NC_018658.1_2955360_2958036_pos,CDS_NC_018658.1_2958159_2959060_pos,100.0,891,0,0,1,891,1,891,0.0,1834.0,891,891,100.0,100.0
CDS_NC_018658.1_903603_906153_pos,CDS_NC_018658.1_909356_909830_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_903603_906153_pos,CDS_NC_018658.1_907759_909267_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_903603_906153_pos,CDS_NC_018658.1_906349_907087_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_906349_907087_pos,CDS_NC_018658.1_909356_909830_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_906349_907087_pos,CDS_NC_018658.1_907759_909267_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_907759_909267_pos,CDS_NC_018658.1_909356_909830_pos,100.0,849,0,0,1,849,1,849,0.0,1758.0,849,849,100.0,100.0
CDS_NC_018658.1_1984327_1986724_neg,CDS_NC_018658.1_1986941_1987813_neg,100.0,798,0,0,1,798,1,798,0.0,1642.0,798,798,100.0,100.0
CDS_NC_018658.1_3148820_3151217_neg,CDS_NC_018658.1_3151327_3153359_neg,100.0,798,0,0,1,798,1,798,0.0,1641.0,798,798,100.0,100.0
CDS_NC_018658.1_1984327_1986724_neg,CDS_NC_018658.1_3151327_3153359_neg,93.233,798,54,0,1,798,1,798,0.0,1474.0,798,798,100.0,100.0
CDS_NC_018658.1_1984327_1986724_neg,CDS_NC_018658.1_3148820_3151217_neg,93.233,798,54,0,1,798,1,798,0.0,1474.0,798,798,100.0,100.0
CDS_NC_018658.1_1986941_1987813_neg,CDS_NC_018658.1_3151327_3153359_neg,93.233,798,54,0,1,798,1,798,0.0,1474.0,798,798,100.0,100.0
CDS_NC_018658.1_1986941_1987813_neg,CDS_NC_018658.1_3148820_3151217_neg,93.233,798,54,0,1,798,1,798,0.0,1474.0,798,798,100.0,100.0
